!	0-6	7-11	12-18	19-23	24-30	31-35	36-42	43-47	48-54	55-59	60-66	67-71	72-78	79-86	87-97	98-102	103-127
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	3.12	6.24	9.36	12.48	15.60	18.72	1.60	2.24	1.96	9.28
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	79	106	106	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	24	29	29	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2590	2511	2511	2590
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	6.9
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.015	0.015	0.013
!	0.598	0.598	0.598	0.598	0.598	0.598	0.598	0.598	0.598	0.598	0.598	0.598	0.598	!	0.506	0.506	0.506
!	4.529	4.529	4.529	4.529	4.529	4.529	4.529	4.529	4.529	4.529	4.529	4.529	4.529	0.360	7.349	7.349	5.011
!	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	2.3	1.3	1.3	1.3
!	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.390	0.485	0.485	0.553
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.506	0.506	0.506	0.506	0.506	0.506	0.506	0.506	0.506	0.506	0.506	0.506	0.506	3.521	3.521	3.279	0.233
!	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	55.4	45.2	39.0	!
!	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	2587	2587	2587	2587	2587	2587	2587	2587	2587	2587	2587	2587	2587	1237	1237	1125	1350
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	3.450	3.450	3.450	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	168	168	168	112
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	0.840	3.450	3.450	3.450	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
