!	28	35	36	38	39	40	41	42	43	45	47	48	50	59	81	82
!	!	!	!	!	!	!	!	100-127	!	!	!	!	!	84-127	64-127	!
!	4.00	1.80	1.80	3.80	!	3.80	!	6.00	!	!	!	!	!	4.80	5.20	0.60
!	50.0	50.0	50.0	50.0	50.0	50.0	50.0	25.6	50.0	50.0	50.0	50.0	50.0	-19.2	-35.8	50.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	28	34	34	36	!	36	43	!	43	43	43	43	43	!	93	82
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	1000	5001	!	!	!	4500	7999	4500	4500	4500	4500	4500	5640	19901	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19.0	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	9.929	!	9.929	9.929	9.929	9.929	9.929	0.006	0.012	!
!	4.000	2.400	2.400	4.999	!	7.001	!	1.000	!	!	!	!	!	8.369	2.890	!
!	!	100.0	100.0	100.0	!	100.0	100.0	40.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	!
!	2.000	2.400	2.400	3.000	2.000	4.999	29.007	1.000	29.007	29.007	29.007	29.007	29.007	8.359	3.060	1.040
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.530	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	100.0	!	!
!	!	!	!	!	!	!	!	5.339	!	!	!	!	!	0.472	1.040	1.040
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	3375	!	!	!	!	!	800	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	!	!	!	!	!	!	5.130	!	!	!	!	!	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	!	!	!	!	!	!	5.130	!	!	!	!	!	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	1	!	!	!	!	!	!	5	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	10.0	!	!	!	10.0	!	5.0	7.0	5.0	5.0	5.0	5.0	5.0	7.0	7.0	10.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
