!	28	33	34	35-36	37	38	39	40	41	42	43	45	47	48	50	59	81	82
!	!	!	!	!	!	!	!	!	!	0-75	!	!	!	!	!	84-127	64-127	!
!	4.00	1.36	4.80	1.80	13.20	4.00	4.00	4.00	!	8.00	!	!	!	!	!	4.80	5.20	0.60
!	50.0	!	-50.0	50.0	50.0	50.0	-50.0	50.0	50.0	!	50.0	50.0	50.0	50.0	50.0	-19.2	-35.8	50.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	28	!	34	34	37	!	39	!	43	!	43	43	43	43	43	!	93	82
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	1000	!	7000	7000	7000	4500	!	4500	4500	4500	4500	4500	5640	19901	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19.0	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	0.007	0.007	0.007	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	1.000	!	!	!	9.929	!	9.929	9.929	9.929	9.929	9.929	0.006	0.012	!
!	4.000	!	4.000	2.400	!	3.000	3.000	3.000	!	!	!	!	!	!	!	8.369	2.890	!
!	!	!	!	100.0	!	100.0	100.0	100.0	100.0	!	100.0	100.0	100.0	100.0	100.0	100.0	100.0	!
!	2.000	0.686	2.000	2.400	21.996	3.000	3.000	3.000	29.007	6.000	29.007	29.007	29.007	29.007	29.007	8.359	3.060	1.040
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.530	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	100.0	!	!
!	!	!	!	!	!	39.993	39.993	39.993	!	!	!	!	!	!	!	0.472	1.040	1.040
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	800	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	4.259	!	!	!	!	!	!	!	!	!	!	!	!	!	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	5	!
!	!	!	!	!	20.0	!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.0	1.4	5.0	!	30.0	5.0	5.0	5.0	5.0	!	5.0	5.0	5.0	5.0	5.0	7.0	7.0	5.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
