!	0-59	60-92	93-127
!	!	!	!
!	8.00	8.00	8.00
!	-50.0	-50.0	-50.0
!	1	1	1
?	?	?	?
!	!	68	!
!	!	!	!
!	-16	-17	!
!	!	!	!
!	17998	17998	17998
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	4.000	4.000	4.000
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	0.010	0.010	0.010
!	5.001	5.001	5.001
!	!	!	!
!	1000	1000	1000
!	5.0	5.0	5.0
!	0.010	0.010	0.010
!	!	!	!
!	!	!	!
!	!	!	!
!	10.0	10.0	10.0
!	10.0	10.0	10.0
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
?	?	?	?
!	!	!	!
!	!	!	!
