!	26	34	35	36	37	38	40	41	42	43	44	45	47	48	50	54	81	82	85
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	3.48	2.60	5.20	13.20	5.20	!	10.40	8.00	10.40	8.80	10.40	10.40	10.40	10.40	6.00	5.20	0.60	!
!	!	0.4	!	!	50.0	-5.0	50.0	-45.0	!	-30.0	!	-15.0	15.0	30.0	45.0	19.0	-35.8	50.0	-37.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	45	26	26	37	34	40	!	!	48	!	47	45	43	41	54	93	82	85
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	47	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	21
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	1840	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19901	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19.0	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.001	!	!	!
!	!	!	!	!	1.000	!	!	!	!	!	!	!	!	!	!	17.959	0.012	!	!
!	!	20.797	!	!	!	39.993	39.993	!	!	!	!	!	!	!	!	39.993	2.890	!	!
!	!	!	!	!	!	100.0	100.0	!	!	!	!	!	!	!	!	!	100.0	!	!
!	7.001	1.040	3.000	3.000	21.996	39.993	39.993	7.001	6.000	7.001	8.000	7.001	7.001	7.001	7.001	6.000	3.060	1.040	9.998
!	!	!	!	!	!	!	!	!	!	!	-400	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	5.339	!	!	!	!	39.993	!	!	!	!	!	!	!	!	!	1.040	1.040	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	3375	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	5.130	!	!	!	5.001	!	!	!	!	!	!	!	!	!	!	5.130	5.130	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	!	5.130	!	!	!	5.001	!	!	!	!	!	!	!	!	!	!	5.130	5.130	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	1	!	!	!	!	!	5	!	!
!	!	!	!	!	20.0	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	7.0	5.0	5.0	30.0	10.0	10.0	5.0	!	5.0	!	5.0	5.0	5.0	5.0	!	7.0	10.0	5.0
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
