!	26	27	28	29	30	31	32	33	34	35-36	37	38	39	40	41-42	43-48	49-53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
!	!	112-127	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	8.80	12.76	5.60	5.20	!	8.00	!	4.80	!	13.20	2.00	2.80	2.00	!	!	!	!	!	6.52	2.44	!	2.44	0.80	4.00	1.08	!	!	!	!	!	!	4.64	!	!	!	4.08	!	2.40	6.00	6.00	2.00	2.00	4.92	5.20	0.60	3.80	!	2.72	!	!
!	!	!	-6.6	!	!	!	-50.0	!	-50.0	!	-50.0	!	-37.0	!	!	!	!	19.0	-23.0	20.0	39.8	-23.8	-34.3	23.0	21.6	-20.9	-20.9	-20.2	18.8	18.1	-19.5	-20.2	-41.0	-40.0	14.5	14.5	17.4	16.7	26.0	-10.0	-10.0	-25.0	-27.0	-50.0	-35.8	-50.0	26.0	22.3	-37.0	-25.2	-24.5
!	!	!	!	!	!	!	!	!	!	1	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1	1	!	!	1	1	!	!	!	!	!	!	!	!	1	!	!	1	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	29	30	31	32	33	34	!	37	43	39	44	!	!	!	54	55	62	57	58	59	!	61	62	63	64	65	66	64	71	69	74	72	70	73	74	87	76	77	90	91	86	93	82	83	84	85	86	87
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	21	!	!	!	!	!	!	20	!	!	!	!	!	!	!	!	!	!	-45	-45	21	36	!	!	!	!	!	!	!	!	!	45	!	!	!	!	21	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19901	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19.0	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.001	0.001	0.001	0.001	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.006	0.006	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	0.250	1.000	!	!	!	!	!	!	17.959	!	!	!	!	!	!	!	!	!	!	!	!	0.020	0.020	8.192	!	0.400	0.600	!	!	!	17.959	17.959	8.192	0.506	!	0.012	!	!	0.746	!	!	!
!	!	!	!	!	!	!	4.000	!	4.000	4.801	!	32.805	!	32.805	6.251	5.621	4.999	39.993	!	6.000	!	!	!	!	!	!	!	!	!	!	1.850	1.850	5.942	32.805	!	!	!	!	!	39.993	39.993	5.942	32.805	0.400	2.890	!	!	10.297	!	7.189	21.996
!	!	!	!	!	!	!	!	!	!	94.0	!	!	!	!	80.0	80.0	80.0	!	!	!	!	!	!	!	!	!	!	!	!	!	96.0	96.0	!	100.0	96.0	96.0	!	!	!	!	!	!	!	96.0	100.0	!	!	96.0	!	96.0	96.0
!	29.995	6.000	8.000	10.297	101.593	4.110	2.000	2.740	2.000	3.420	21.996	32.805	9.998	32.805	4.999	4.500	4.000	6.000	101.593	6.000	101.593	12.302	101.593	6.849	6.849	3.420	6.509	5.140	6.509	9.591	1.400	1.400	5.942	32.805	0.350	1.000	1.710	6.169	5.942	3.000	3.000	5.942	32.805	0.400	3.060	1.040	101.593	8.902	9.998	7.189	20.499
!	!	!	-400	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	0.006	!	0.006	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.006	!	!	!	!	!	!	!	!	!	0.006	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
