!	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0-100	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	4.00	4.00	4.92	4.92	!	8.00	1.36	4.80	1.80	1.80	13.20	3.80	!	3.80	!	!	!	2.80	!	2.00	!	!	!	!	5.20	1.64	5.20	!	1.20	6.52	4.80	!	4.00	0.60	!	!	1.20	0.60	!	!	!	!	4.64	!	!	!	4.08	7.20	2.40	6.00	6.00	2.00	2.00	4.92	5.20	0.60	4.00	!	!	!	!
!	!	!	-50.0	20.0	18.0	!	-50.0	!	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	-50.0	25.6	-50.0	14.0	-50.0	7.5	-50.0	-50.0	!	-50.0	-21.6	-16.0	-16.1	!	15.0	20.0	-24.7	!	-19.2	25.6	23.2	-23.2	-25.5	-25.5	18.8	18.1	-19.5	-20.2	-41.0	-40.0	14.5	14.5	17.4	!	26.0	-10.0	-10.0	-25.0	-27.0	-50.0	-35.8	-50.0	35.8	22.3	!	-25.2	-24.5
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	1	!	!	!	1	!	!	!	!	!	!	!	!	!	1	1	!	!	1	1	!	!	1	1	!	!	!	!	!	!	!	!	1	!	!	1	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	45	28	!	!	!	32	!	34	34	34	37	36	!	36	41	!	41	53	41	!	41	41	!	41	57	52	59	!	!	62	!	58	!	74	73	!	80	76	65	66	64	71	69	74	72	70	73	74	87	76	77	90	91	86	93	82	!	84	85	86	87
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	47	!	!	!	!	!	!	!	!	!	!	!	!	!	-5	!	-5	-9	-5	!	-5	-5	!	-5	7	!	4	!	!	20	!	!	!	35	-48	!	-48	-24	!	!	-45	-45	21	36	!	!	!	!	!	!	!	!	!	45	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	1000	5001	!	!	!	!	7999	7999	7999	1840	7999	!	7999	7999	!	7999	!	!	!	!	!	!	1840	!	5640	1840	1840	!	1840	1840	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19901	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	19.0	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.001	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.007	!	0.001	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	0.006	0.006	!	!	!	!	!	!	!	!	!	!	!	0.010	!	!	!
!	!	8.192	!	!	!	!	!	!	!	!	!	1.000	!	!	!	9.929	0.046	9.929	0.047	9.929	0.001	9.929	9.929	!	9.929	!	!	0.040	0.322	!	!	!	!	!	!	!	!	0.006	!	!	!	0.020	0.020	8.192	!	0.400	0.600	!	!	!	17.959	17.959	8.192	0.506	!	0.012	!	8.192	0.746	!	!	!
